,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+,RSI
281,bov,EGIE3.SA,ENGIE BRASILON      NM,43.11,2021-08-05,2022-03-24,231 days 00:00:00.000000000,21.31,2022-01-06,77 days 00:00:00.000000000,15.81,33.33,74.2,40.87,1.86,154,5.5,20.54,3.57,False,False,84.87
282,bov,ODPV3.SA,ODONTOPREV  ON      NM,12.23,2021-03-10,2021-09-30,204 days 00:00:00.000000000,33.57,2022-02-25,27 days 00:00:00.000000000,0.8,13.24,2.39,-10.85,0.2,177,32.77,2.97,18.51,False,True,57.25
283,bov,UGPA3.SA,ULTRAPAR    ON      NM,14.75,2022-01-18,2022-02-16,29 days 00:00:00.000000000,21.37,2022-03-14,10 days 00:00:00.000000000,18.31,34.48,85.7,51.21,1.71,19,3.06,183.11,16.09,False,True,57.19
284,bov,RANI3.SA,IRANI       ON      NM,6.88,2021-10-04,2021-10-18,14 days 00:00:00.000000000,18.39,2022-02-23,29 days 00:00:00.000000000,17.73,207.14,96.46,-110.69,0.86,-15,0.65,61.15,-4.34,False,True,70.81
285,bov,DXCO3.SA,DEXCO       ON      NM,18.87,2021-08-18,2021-12-15,119 days 00:00:00.000000000,4.81,2021-08-31,205 days 00:00:00.000000000,7.28,172.27,151.35,-20.92,6.9,-86,-2.47,3.55,2.87,False,False,
286,bov,PETZ3.SA,PETZ        ON      NM,18.8,2021-07-28,2021-08-25,28 days 00:00:00.000000000,23.82,2022-01-05,78 days 00:00:00.000000000,30.99,278.57,130.11,-148.46,0.87,-50,-7.17,39.73,14.34,False,True,56.3
287,bov,VBBR3.SA,VIBRA       ON      NM,24.42,2022-01-10,2022-02-16,37 days 00:00:00.000000000,25.03,2022-03-15,9 days 00:00:00.000000000,13.21,24.32,52.77,28.44,1.92,28,11.82,146.75,42.22,False,True,63.81
288,bov,CMIN3.SA,CSNMINERACAOON      N2,6.14,2021-11-03,2022-01-04,62 days 00:00:00.000000000,37.68,2022-03-16,8 days 00:00:00.000000000,7.35,12.9,19.49,6.59,3.49,54,30.34,91.82,56.18,True,False,36.49
289,bov,STBP3.SA,SANTOS BRP  ON      NM,7.71,2022-01-17,2022-03-24,66 days 00:00:00.000000000,31.1,2022-03-07,17 days 00:00:00.000000000,24.57,25.76,78.99,53.23,1.51,49,6.54,144.51,13.34,False,False,75.76
290,bov,GOAU4.SA,GERDAU MET  PN      N1,12.45,2022-01-06,2022-03-24,77 days 00:00:00.000000000,12.12,2022-02-24,28 days 00:00:00.000000000,22.44,36.36,185.09,148.73,1.25,49,-10.32,80.15,-21.06,False,True,60.15
