,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+
157,bov,SANB11.SA,SANTANDER BRUNT,31.1,2021-03-01,2021-06-07,98 days,23.04,2021-12-30,25 days,2.67,25.51,11.59,13.92,0.9,73,20.36,10.68,27.9,False,True
158,bov,MNPR3.SA,MINUPAR     ON,5.86,2021-09-08,2021-09-28,20 days,8.84,2022-01-10,14 days,-0.59,70.0,-6.69,76.69,-0.09,6,9.43,-4.22,157.18,True,False
159,bov,TAEE11.SA,TAESA       UNT     N2,38.07,2021-07-01,2021-08-20,50 days,9.52,2021-11-23,62 days,11.49,124.0,120.71,3.29,52.71,-12,-1.97,18.54,16.43,False,False
160,bov,CMIG3.SA,CEMIG       ON      N1,17.16,2021-07-19,2021-12-30,164 days,27.93,2021-08-16,161 days,26.72,98.17,95.67,2.5,63.59,3,1.21,16.59,40.34,True,False
161,bov,BBAS3.SA,BRASIL      ON      NM,31.35,2021-09-20,2021-12-06,77 days,16.11,2022-01-05,19 days,8.39,24.68,52.07,27.39,1.97,58,7.72,44.16,13.32,False,True
162,bov,BRAP4.SA,BRADESPAR   PN      N1,26.85,2021-12-09,2022-01-19,41 days,26.46,2021-12-09,46 days,19.84,112.2,74.99,37.2,2.07,-5,6.62,43.14,-132.35,False,True
163,bov,CRFB3.SA,CARREFOUR BRON      NM,14.95,2021-03-03,2021-06-10,99 days,27.3,2022-01-07,17 days,4.83,17.17,17.69,0.52,36.78,82,22.47,28.41,27.4,False,True
164,bov,MYPK3.SA,IOCHP-MAXIONON      NM,14.22,2021-08-17,2021-10-18,62 days,34.11,2021-12-01,54 days,5.95,87.1,17.43,69.66,0.25,8,28.16,11.01,352.0,True,False
165,bov,JBSS3.SA,JBS         ON      NM,35.92,2021-06-25,2021-12-29,187 days,37.93,2021-12-03,52 days,5.56,27.81,14.65,13.16,1.2,135,32.37,10.68,23.98,True,False
166,bov,GRND3.SA,GRENDENE    ON      NM,8.38,2021-03-01,2021-08-12,164 days,66.15,2022-01-05,19 days,6.19,11.59,9.36,2.22,7.64,145,59.96,32.59,41.35,False,True
167,bov,SHOW3.SA,TIME FOR FUNON      NM,2.85,2021-08-16,2021-09-03,18 days,10.74,2022-01-24,0 days,-4.36,0.0,-40.61,40.61,-1.03,18,15.11,-inf,83.92,True,False
168,bov,FLRY3.SA,FLEURY      ON      NM,18.42,2021-05-03,2021-05-20,17 days,8.05,2022-01-05,19 days,12.46,111.76,154.73,42.97,3.69,-2,-4.41,65.57,220.36,False,True
169,bov,AGRO3.SA,BRASILAGRO  ON      NM,26.3,2021-08-17,2021-10-15,59 days,25.44,2021-12-01,54 days,11.71,91.53,46.04,45.49,1.03,5,13.73,21.69,274.57,False,False
170,bov,CYRE3.SA,CYRELA REALTON      NM,15.49,2021-03-09,2021-06-14,97 days,13.82,2022-01-18,6 days,9.55,6.19,69.12,62.93,1.12,91,4.27,159.22,4.69,False,True
171,bov,CEBR3.SA,CEB         ON,15.5,2021-10-11,2021-10-14,3 days,-294.11,2022-01-21,3 days,0.06,100.0,-0.02,100.02,-0.0,0,-294.18,2.05,-inf,True,False
172,bov,CPLE3.SA,COPEL       ON      N2,5.91,2021-07-08,2021-09-27,81 days,17.8,2021-11-08,77 days,8.9,95.06,49.97,45.09,1.13,4,8.91,11.56,222.67,False,True
173,bov,TRPL4.SA,TRAN PAULISTPN      N1,24.14,2021-08-19,2021-12-22,125 days,12.14,2022-01-13,11 days,2.27,8.8,18.74,9.94,2.1,114,9.86,20.68,8.65,False,True
174,bov,MTSA4.SA,METISA      PN,38.99,2021-08-17,2021-10-28,72 days,22.15,2021-09-21,125 days,4.38,173.61,19.76,153.85,0.13,-53,17.78,3.5,-33.54,False,False
175,bov,EMBR3.SA,EMBRAER     ON      NM,20.64,2021-09-22,2021-10-14,22 days,26.72,2022-01-21,3 days,-1.8,13.64,-6.72,20.35,-0.35,19,28.52,-59.84,150.09,True,False
176,bov,ABCB4.SA,ABC BRASIL  PN      N2,15.55,2021-09-29,2021-12-10,72 days,19.95,2022-01-05,19 days,-1.01,26.39,-5.05,31.43,-0.17,53,20.96,-5.3,39.54,True,False
177,bov,BRML3.SA,BR MALLS PARON      NM,9.01,2021-10-26,2022-01-21,87 days,26.01,2022-01-10,14 days,22.0,16.09,84.57,68.48,1.25,73,4.01,157.12,5.5,False,True
178,bov,SLCE3.SA,SLC AGRICOLAON      NM,45.11,2021-08-31,2022-01-19,141 days,24.07,2021-12-20,35 days,27.09,24.82,112.54,87.72,1.3,106,-3.02,77.41,-2.85,False,True
179,bov,NTCO3.SA,GRUPO NATURAON      NM,23.16,2021-05-12,2021-07-12,61 days,22.21,2022-01-18,6 days,9.15,9.84,41.2,31.36,1.36,55,13.06,152.51,23.75,False,True
180,bov,SEER3.SA,SER EDUCA   ON      NM,10.77,2021-03-18,2021-06-23,97 days,51.46,2022-01-05,19 days,9.54,19.59,18.54,1.05,354.28,78,41.92,50.2,53.74,False,True
181,bov,FRAS3.SA,FRAS-LE     ON      N1,12.71,2021-05-27,2021-08-09,74 days,44.64,2021-12-01,54 days,2.97,72.97,6.64,66.33,0.1,20,41.68,5.49,208.38,True,False
182,bov,PCAR3.SA,P.ACUCAR-CBDON      NM,20.95,2020-10-30,2021-06-04,217 days,210.12,2022-01-17,7 days,5.47,3.23,2.6,0.62,6.89,210,204.65,78.15,97.45,False,True
183,bov,TEND3.SA,TENDA       ON      NM,15.95,2021-05-21,2021-06-18,28 days,5.98,2022-01-18,6 days,7.87,21.43,131.51,110.08,1.21,22,-1.89,131.13,-8.57,False,True
184,bov,SMTO3.SA,SAO MARTINHOON      NM,36.36,2021-09-08,2021-11-08,61 days,27.93,2022-01-10,14 days,8.5,22.95,30.45,7.5,4.68,47,19.42,60.75,41.32,False,True
185,bov,SBFG3.SA,GRUPO SBF   ON      NM,22.01,2021-03-09,2021-07-12,125 days,59.51,2022-01-05,19 days,8.34,15.2,14.01,1.19,75.65,106,51.17,43.89,48.27,False,True
186,bov,BRFS3.SA,BRF SA      ON      NM,23.46,2021-09-20,2021-10-01,11 days,16.54,2021-12-13,42 days,16.57,381.82,100.14,281.68,0.36,-31,-0.02,39.44,0.08,False,True
187,bov,EMAE4.SA,EMAE        PN,50.7,2021-07-27,2021-08-02,6 days,5.76,2022-01-24,0 days,-1.55,0.0,-26.99,26.99,-1.04,6,7.31,-inf,121.81,True,False
188,bov,BIOM3.SA,BIOMM       ON      MA,14.25,2021-08-18,2021-10-04,47 days,27.62,2021-12-09,46 days,8.6,97.87,31.13,66.75,0.47,1,19.03,18.69,1902.6,False,True
189,bov,SULA11.SA,SUL AMERICA UNT     N2,22.91,2021-10-06,2021-11-10,35 days,19.1,2022-01-18,6 days,-0.84,17.14,-4.38,21.52,-0.21,29,19.93,-13.94,68.73,True,False
190,bov,YDUQ3.SA,YDUQS PART  ON      NM,19.6,2021-10-29,2021-12-16,48 days,10.55,2022-01-10,14 days,4.47,29.17,42.4,13.23,3.47,34,6.08,31.95,17.87,False,True
191,bov,RENT3.SA,LOCALIZA    ON      NM,53.62,2021-10-29,2021-12-16,48 days,27.37,2022-01-10,14 days,8.57,29.17,31.29,2.13,27.79,34,18.81,61.19,55.32,False,True
192,bov,AZUL4.SA,AZUL        PN      N2,26.43,2021-03-29,2021-06-08,71 days,28.34,2021-12-02,53 days,21.64,74.65,76.36,1.71,107.49,18,6.7,40.83,37.22,False,True
193,bov,GOLL4.SA,GOL         PN      N2,16.42,2021-12-01,2021-12-22,21 days,17.19,2022-01-05,19 days,1.03,90.48,5.97,84.5,0.07,2,16.16,5.4,808.04,True,False
194,bov,IGTI3.SA,IGUATEMI S.AON      N1,3.1,2021-03-01,2021-07-16,137 days,54.91,2022-01-05,19 days,23.5,13.87,42.8,28.93,1.53,118,31.41,123.7,26.62,False,True
195,bov,ALSO3.SA,ALIANSCSONAEON      NM,21.09,2021-10-29,2021-11-19,21 days,14.93,2022-01-10,14 days,12.81,66.67,85.82,19.15,4.73,7,2.12,91.49,30.24,False,True
196,bov,BEEF3.SA,MINERVA     ON      NM,9.73,2021-12-01,2021-12-29,28 days,22.14,2022-01-24,0 days,-1.32,0.0,-5.96,5.96,-1.2,28,23.45,-inf,83.77,True,False
197,bov,COGN3.SA,COGNA ON    ON      NM,2.38,2021-03-01,2021-06-21,112 days,28.92,2022-01-10,14 days,14.45,12.5,49.96,37.46,1.37,98,14.47,103.2,14.77,False,True
198,bov,PRIO3.SA,PETRORIO    ON      NM,23.17,2021-08-17,2021-10-14,58 days,54.98,2022-01-05,19 days,12.37,32.76,22.5,10.26,2.43,39,42.6,65.11,109.24,False,True
199,bov,HYPE3.SA,HYPERA      ON      NM,29.06,2021-12-01,2022-01-21,51 days,9.75,2022-01-11,13 days,8.37,25.49,85.81,60.32,1.45,38,1.38,64.35,3.64,False,True
